author_id,article_id,name,leading_author,first_author,career_stage,expertise_level,author_key
392,1459,Han J,True,False,Senior PI,Newcomer,han j
395,3455,Sorrentino RP,False,True,PhD,Experienced,sorrentino rp
396,3455,Govind S,True,False,Junior PI,Experienced,govind s
397,2088,Chiu H,False,True,PhD,Experienced,chiu h
398,2088,Govind S,True,False,Junior PI,Experienced,govind s
399,1638,Tokusumi T,False,True,PhD,Experienced,tokusumi t
400,1638,Schulz RA,True,False,Junior PI,Experienced,schulz ra
401,2145,Mellroth P,False,True,PhD,Experienced,mellroth p
402,2145,Steiner H,True,False,Senior PI,Experienced,steiner h
403,2366,Mellroth P,False,True,PhD,Experienced,mellroth p
404,2366,Steiner H,True,False,Senior PI,Experienced,steiner h
405,1866,Persson C,False,True,PhD,Experienced,persson c
406,1866,Steiner H,True,False,Senior PI,Experienced,steiner h
407,1979,Mellroth P,False,True,PhD,Experienced,mellroth p
408,1979,Steiner H,True,False,Senior PI,Experienced,steiner h
409,2675,Lu Y,False,True,PhD,Newcomer,lu y
410,2675,Anderson KV,True,False,Senior PI,Newcomer,anderson kv
411,1836,Libert S,False,True,PhD,Newcomer,libert s
412,1836,Pletcher SD,True,False,Senior PI,Newcomer,pletcher sd
413,2955,Rodriguez A,False,True,PhD,Experienced,rodriguez a
415,2737,Bernal A,False,True,PhD,Experienced,bernal a
417,1902,Taylor K,False,True,PhD,Experienced,taylor k
418,1902,Kimbrell DA,True,False,Senior PI,Experienced,kimbrell da
416,2737,Kimbrell DA,True,False,Junior PI,Experienced,kimbrell da
414,2955,Kimbrell DA,True,False,Junior PI,Experienced,kimbrell da
419,2667,Zhou Z,False,True,PhD,Experienced,zhou z
420,2667,Kimbrell DA,True,False,Senior PI,Experienced,kimbrell da
358,2264,Levy F,False,True,Post-doc,Experienced,levy f
422,2396,O'Farrell PH,True,False,Senior PI,Newcomer,o'farrell ph
423,2800,Franc NC,False,True,PhD,Newcomer,franc nc
424,2800,White K,True,False,Junior PI,Newcomer,white k
425,2960,Franc NC,False,True,PhD,Newcomer,franc nc
426,2960,Ezekowitz RA,True,False,Senior PI,Newcomer,ezekowitz ra
427,1726,Cuttell L,False,True,PhD,Experienced,cuttell l
428,1726,Franc NC,True,False,Junior PI,Experienced,franc nc
429,1886,Silva E,False,True,PhD,Experienced,silva e
430,1886,Franc NC,True,False,Junior PI,Experienced,franc nc
